#	number
#	pound
(F)	final
(R)	rectal(on temperature records)
(a)	at
(a)	axillary temperature
*	birth
+	acid reaction
+	add
+	and
+	convex lens
+	increase
+	plus
+	positive
+	present
+	possible
+	slight trace(or reaction)
+ +	trace(or noticable reaction)
+ +	50% inhibition of hemolysis(Wassermann)
+ + +	moderate amount(or reaction)
+ + +	75% inhibition of hemolysis(Wassermann)
+ + + +	large amount(or pronounced reaction)
-	absent
-	minus
-	negative
.00	No zero before decimal dose
/	and
/	per
1,2,3 en	1 ounce epson salts, 2 ounce glycerin, 3 ounce hot water enema
1/2 NSS	sodium chloride 0.45% (1/2 normal saline solution)
167GA	radioactive gallium(nuclear medicine)
17 Keto	17 ketosteroids(laboratory/endocrinology)
17-KS	17-ketosteroids
17-OH	17-hydroxycorticosteroids(17-OHCS)(laboratory/endocrinology)
198Au	radioactive gold
1x	once
1°	first degree
1°	primary
2 HPPBS	2-hour postprandial blood sugar
2 alt	every other day (this is a dangerousabbreviation)
2,3-DPG	2, 3-diphosphoglyceric acid
2-D	two-dimensional
2/d	twice a day
24°	24 hour
25% B.B 	benzyl benzoate soultion
2CdA	chlorodeoxyadenosine
2DE	two-dimensional echocardiography
2ndry	secondary
2x	twice
2°	secondary
2°	second degree
3-D	three-dimensional
32p	radioactive phosphorus(nuclear medicine)
3LC	triple lumen catheter
4-NPP	4-nitrophenylphosphatase
4D	4-prism diopters
4MP4	methylpyrazole
5 DW	5% dextrose (in water) injection
5-AC	azacitidine
5-ASA	mesalamine (5-aminosalicylic acid)
5-FU	five-fluorouracil(cancer chemotherapy)
5-HTP	serotonin (5-hydroxytryptophan)
59Fe	radioactive iron(nuclear medicine)
5FC	flucytosine(this is a dangerous abbreviation as it can look like 5FU)
6-MMPR	6-methylmercaptopurine riboside
6-MP	6-mercaptopurine(medication order)
7-OMEN	menogaril
85SR	radioactive strontium
99mTC	radioactive technetium(nuclear medicine)
:	ratio
: :	proportionate to
<	less than
<	smaller than
<=	less than or equal to
=	equals
>	greater than
>	larger than
>=	greater than or equal to
?	questionable(suggestive, unknown)
??	of each (medication orders/prescriptions)
A	accommodation
A	adult
A	age
A	alive
A	ambulatory
A	angioplasty
A	anterior
A	anxiety
A	apical
A	arterial
A	artery
A	assessment
A Big	atrial bigeminy
A GLAC-T	alpha galactoside leukocytes
A comm A	anterior communicating artery
A fib	atrial fibrillation
A quad	atrial quadrageminy
A waves	atrial contraction wave
A&A	arthroscopy and arthrotomy
A&B	apnea and bradycardia
A&D	alcohol and drug
A&D	ascending and descending
A&D	admission and discharge
A&E	accident and emergency (department)
A&H	accident and health (insurance)
A&I	allergy and immunology (department)
A&O	alert and oriented
A&O×3	alert and oriented to person, place, and time
A&O×4	alert and oriented to person, place, time and date
A&P	anterior and posterior
A&P	active and present
A&P	assessment and plans
A&P	auscultation and percussion
A&R	adenoidectomy with radium
A&R	advised and released
A&W	alive and well
A&d	vitamins A and D
A's and 	apnea and bradycardia
A+E	analysis and evaluation
A,A(or A	Angstrom unit 10cm
A-C Join	acromio-clavicular joint
A-F	ankle-foot(orthosis)
A-F	anti-fibrinogen
A-M pr	Austin-Moore prosthesis
A-MAT	amorphous material
A-R	apical-radial(pulse)
A-S atta	Adams-Stokers attack
A-S sol	atropine sulfate solution
A-VO₂	arteriovenous oxygen difference
A-com	anterior commisure
A-com	aneurysm anterior communicating
A-line	arterial catheter
A.P.view	anteroposterior view
A/AEX	active assistive exercise
A/B	acid-base ratio
A/B	apnea/bradycardia
A/B MS	apnea/bradycardia mild stimulation
A/B Mods	apnea/bradycardia moderate stimulation
A/B ss	apnea/bradycardia self-stimulation
A/C	anterior chamber (eye examination)
A/C	assist/control
A/CK	Accuchek
A/G	albumin to golbulin ratio
A/G rati	Albumin/globulin ratio
A/P	ascites/plasma ratio
A/S	apgar score
A/W	able to work
A/t diet	alternis diebuo=every other day
A/t hor	alternis horis=every other hour
A1000	5% albumin 1000ml
A1AT	alpha 1-antitrypsin
A1AT-P1	alpha 1-antitrypsin (phenotyping)
A250	5% albumin 250ml
A2>P2	second aortic sound greater than second pulmonic sound
A2CP2	aortic 2nd heart sound is less than pulmonic 2nd sound
A5D5W	alcohol 5%, dextrose 5% in water for injection
A>B	air greater than bone (conduction)
AA	Alcoholics Anonymous
AA	acetic acid
AA	achievement age(pediatrics)
AA	active assistive
AA	acute asthma
AA	alcohol abuse
AA	Australia antigen (laboratory/serology)
AA	amino acid
AA	anti-aerobic
AA	antiarrhythmic agent
AA	aortic aneurysm
AA	aortic arch
AA	aplastic anemia
AA	arm ankle (pulse ratio)
AA	artificial abortion
AA	ascending aorta
AA	atomic absorption(laboratory method)
AA	audiologic assessment
AAA	abdominal aortic aneurysm
AAA	abdominal aortic aneurysmectomy (aneurysm)
AAA	acquired aplastic anemia
AAA	actue anxiety attack
AAA	amino acid analysis
AAA	aromatic amino acids
AAC	Adrenalin, atropine, and cocaine
AAC	antimicrobial agent-associated colitis
AACG	acute angle closure glaucoma
AACR	American Association for Cancer Research
AAD	acid-ash diet
AAD	antibiotic-associated diarrhea
AAE	active assistance exercise
AAE	acute allergic encephalitis
AAE	autoallergic encephalomyelitis
AAF	antipernicious anemia factor
AAG	alpha 1-acid glycoprotein
AAG	alveolar-arterial gradient
AAI	acute alveolar injury
AAIA	acquired artery immune augmentation
AAIN	acute allergic interstitial nephritis
AAL	anterior axillary line
AAM	amino acid mixture
AAMC	American Association of Medical Colleges
AAMS	acute aseptic meningitis syndrome
AAN	analgesic abuse nephropathy
AAN	analgesic-associated nephropathy
AAN	attending's admission notes
AAO	alert, awake, & oriented
AAO	amino acid oxidase
AAOC	antacid of choice
AAP	American Academy of Pediatrics
AAP	assessment adjustment pass
AAPB	American Association of Pathologists and Bacteriologists
AAPC	antibiotic-acquired pseudomembranous colitis
AAPMC	antibiotic-associated pseudomembranous colitis
AAR	antigen-antiglobulin reaction
AAR	antigen-antibody reaction
AARF	acute alveolar respiratory failure
AARIT	antigen-antibody reaction inhibition test
AAROM	active assistive range of motion
AART	American Association for Respiratory Therapy
AAS	acute abdominal series
AAS	androgenic-anabolic steroid
AAS	aortic arch syndrome
AAS	atlantoaxis subluxation
AAS	atomic absorption spectrophotometer
AAS	atypical absence seizure
AASCI	acute anterior spinal cord injury
AASCRN	amino acid screen
AAT	alpha-antitrypsin
AAT	at all times
AAT	atypical antibody titer
AAU	acute anterior uveitis
AAV	AIDS-associated virus
AAV	adeno-associated virus
AAVV	accumulated alveolar ventilatory volume
AB	abdominal binder
AB	ace bandage
AB	antigen binding
AB	apex beat
AB	aphasia battery
AB	armboard
AB	asthmatic bronchitis
ABA	antibacterial activity
ABA	atopic bronchial asthma
ABC	abbreviated blood cell count
ABC	absolute band counts
ABC	absolute basophil count
ABC	airway, breathing, and circulation
ABC	aneurysmal bone cyst
ABC	antigen binding capacity
ABC	apnea, bradycardia, and cyanosis
ABC	argon beam coagulator
ABC	artificial beta cells
ABC	aspiration, biopsy and cytology
ABC	avidine-biotin complex
ABC	axiobuccocervical
ABCDE	botulism toxoid pentavalent
ABCIL	antibody-mediated cell dependent immunolympholysis
ABD	after bronchodilator
ABD	aggressive behavioral disturbance
ABD	average body dose
ABDCT	atrial bolus dynamic computer tomography
ABDGR	abdominal girth
ABDPB	abductor pollicis brevis
ABDPL	abductor pollicis longus
ABE	acute bacterial endocarditis
ABE	adult basic education
ABE	botulism equine trivalent antitoxin
ABEP	auditory brain stem-evoked potentials
ABF	anti-bleeding factor
ABF	aortobifemoral (bypass)
ABG	air/bone gap
ABG	aortoiliac bypass graft
ABG	arterial blood gases(laboratory/blood gas)
ABG	axiobuccogingival
ABGA	arterial blood gas analysis
ABH	Ativan, Benadryl and Haldon
ABI	atherothrombotic brain infarction
ABID	antibody identification
ABK	aphakic bullous keratopathy
ABL	allograft bound lymphocytes
ABL	angioblastic lymphadenopathy
ABL	antigen-binding lymphocyte
ABL	axiobuccolingual
ABM	alveolar basement membrane
ABM	autologous bone marrow
ABMT	autologous bone marrow transplantation
ABO	blood group system (A,AB,B, and O)
ABP	arterial blood pressure
ABPA	acute bronchopulmonary asthma
ABPA	allergic bronchopulmonary aspergillosis
ABPC	antibody-producing cell
ABPM	ambulatory blood pressure monitoring
ABR	absolute bed rest
ABR	auditory brain(evoked) responses
ABS	Accuchek blood sugar
ABS	abdominal surgery
ABS	acute brain syndrome
ABS	admitting blood sugar
ABS	adult bovine serum
ABS	anti-B serum
ABS	arterial blood sample
ABS	at bedside
ABT	aminopyrin breath test
ABT	arteria basilaris thrombose
ABTX	alpha-bungarotoxin
ABV	actinomycin D, bleomycin, and vincristine
ABVD	Adriamycin, bleomycin, vinblastine, and dacarbazine(DTIC)
ABW	actual body weight
ABX, Abx	antibiotics
ABY	acid bismuth yeast (medium/agar)
ABd	type of plain gauze dressing
ABr	agglutination for brucelloisis (test)
AC	abdominal circumference
AC	abdominal compression
AC	absorption coefficient
AC	absorptive cell
AC	abuse case
AC	acetate
AC	acromioclavicular
AC	acute cholecystitis
AC	adenocarcinoma
AC	adherent cell
AC	adrenal cell
AC	adrenal cortex
AC	adrenocorticoid
AC	air changes
AC	air conditioned
AC	air conduction (hearing test)
AC	alternating current
AC	ambulatory care
AC	ambulatory controls
AC	anterior cerebral artery
AC	anterior chamber (of eye)
AC	anterior colporrhaphy
AC	anterior column
AC	activated charcoal
AC	active cough
AC	anchored catheter
AC	ankle clonus
AC	anti-inflammatory corticoid
AC	anticoagulant
AC	aortic closure
AC	aortocoronary
AC	ascending colon
AC	assist control
AC	axiocervical
AC	before meals = ante cibum (medication order/pres)
AC&BC	air conduction and bone conduction
AC&HS	before meals and at bedtime
ACA	accommodation convergence-accommodation (ratio)
ACA	acute cerebellar ataxia
ACA	acyclovir
ACA	adenocarcinoma
ACA	aminocaproic acid
ACA	anomalous coronary artery
ACA	anterior cerebral artery
ACA	anterior communicating aneurysm
ACA	anterior communicating artery
ACB	alveolar-capillary block
ACB	antibody-coated bacteria
ACB	before breakfast
ACBE	air contrast barium enema
ACBG	aortocoronary bypass graft (surgery)
ACC	adenoid cystic carcinomas
ACC	administrative control center
ACC	adrenocortical carcinoma
ACC	ambulatory care center
ACC	amylase creatinine clearance
ACC	anodal closure clonus
ACC	articular chondrocalcinosis
ACC time	aorta cross clamping time
ACCR	amylase creatinine clearance ratio
ACCS	alternating convergent concomitant strabismus
ACCU	Accuchek(blood glucose monitoring)
ACD	absolute cardiac dullness
ACD	acid-citrate-dextrose
ACD	anterior chamber diameter
ACD	alpha-chain disease
ACD	adult celiac disease
ACD	anemia of chronic disease
ACD	angiocardiography
ACD	allergic contact dermatitis
ACD	anterior chest diameter
ACD	anticonvulsant drug
ACD	area of cardiac disease
ACD	actinomycin D
ACDDS	alcoholism/chemical dependency detoxification service
ACDK	acquired cystic disease of the kidney
ACDS	acid citrate dextrose solution
ACDs	anticonvulsant drugs
ACE	angiotensin-converting enzyme
ACE	adrenal cortical extract
ACE	mixture alcohol 1, chlorform 2, ether 3의 혼합액
ACEI	angiotensin-converting enzyme inhibitor(약리)
ACF	acute care facility
ACF	anterior cervical fusion
ACF	accessory clinical findings
ACG	angiocardiography
ACG	apexcadiogram(procedure/cardiology)
ACH	adrenal cortical hormone
ACH	after coming head
ACH	amyotrophic cerebellar hypoplasia
ACH	arm, chest, height
ACH	arm, chest, hip
ACH	arm girth, chest depth and hip width index(of nutrition)
ACH	active chronic hepatitis
ACHES	abdominal pain, chest pain, headache, eye problems, and severe leg pains (early danger signs of oral contraceptive adverse effects)
ACI	adrenal cortical insufficiency
ACI	aftercare instructions
ACJ	acromioclavicular joint
ACL	acromio-clavicular ligament
ACL	anterior chamber lens
ACL	anterior cruciate ligament (of knee) (tear)
ACLR	anterior cruciate ligament repair
ACLS	advanced cardiac life support
ACM	adriamycin, cyclophosphamide and methotrexate
ACM	alveolar capillary membrane
ACM	acute cerebrospinal meningitis
ACM	anti-cardiac myosin
ACMC	Association of Canadian Medical Colleges
ACME	aphatic cystoid macular edema
ACMF	arachnoid cyst of the middle fossa
ACMP	alveolar-capillary membrane permeability
ACMV	assist-controlled mechanical ventilation
ACN	acute conditioned neurosis
ACO	anodal closing order
ACP	acid phosphatase
ACP	American College of Pathologists
ACP	anodal closing picture
ACP	aspirin-caffeine-phenacetin
ACP	accessory conduction pathway
ACPP	adrenocorticopolypeptide
ACPPPF	acid phosphatase prostatic fluid
ACPS	acrocephalopolysyndactyly
ACR	adenomatosis of the colon and rectum
ACR	anterior chamber reformation
ACR	anti-constipation regimen
ACR	absolute catabolic rate
ACRF	ambulatory care research facility
ACS	acute confusional state
ACS	ambulatory care services
ACS	antireticular cytotoxic serum
ACS	anodal closing sound
ACS	acrocephalosyndactyly
ACSL	automatic computerized solvent litholysis
ACSM	American College of Sports Medicine
ACSV	aortocoronary-saphenous vein(graft)
ACSVBG	aortocoronary saphenous vein bypass graft
ACT	anti-chromotrypsin
ACT	activated coagulation time
ACT	advanced coronary treatment
ACT	allergen challenge test
ACT	activated clotting time
ACT	anticoagulant therapy
ACT	anxiety control training
ACT	asthma care training
ACT	atropine coma therapy
ACT-D	actinomycin D
ACTG	AIDS Clinical Trial Group
ACTH	corticotrophin (adrenocorticotrophic hormone)
ACTP	adrenocorticotropic polypeptide
ACV	acyclovir
ACV	atrial/carotid/ventricular
ACVD	acute cardiovascular disease
ACW	anterior chest wall
AD	after discharge
AD	accident dispensary
AD	active disease
AD	acute dermatomyositis
AD	adde <Lat>
AD	admitting diagnosis
AD	adenoid degeneration (agent)
AD	air dyne
AD	abdominal diameter
AD	alternating days (this is a dangerous abbreviation)
AD	alveolar duct
AD	Alzheimer's dementia
AD	Alzheimer's disease
AD	analgesic dose
AD	anterior division
AD	antigenic determinant
AD	average day
AD	average deviation
AD	axis deviation
AD	atopic dermatitis
AD	auricle dexter
AD	diphenylchloroarsine
AD	right atrium [L. atrium dextrum]
AD	right ear [L. auris dextral]
AD	aldebaranium
AD Te	anodal duration tetanus
ADA	American Diabetes Association
ADA	anterior descending artery
ADA	adenosine deaminase
ADAM	adjustment disorder with anxious mood
ADAU	adolescent drug abuse unit
ADB	accidental death benefit
ADC	anxiety disorder clinic
ADCC	automated differential cell counter
ADCC	antibody-dependent cellular cytotoxicity
ADCMC	antibody dependent cell mediated cytotoxicity
ADD	adduction
ADD	attention deficit disorder
ADD	average daily dose
ADDH	attention deficit disorder with hyperactivity
ADDM	adjustment disorder with depressed mood
ADDU	alcohol and drug dependence unit
ADE	acute disseminated encephalitis
ADEM	acute disseminating encephalomyelitis
ADEM	antibody-dependent enhancement
ADF	antidiarrheal formula
ADFu	agar diffusion for fungus
ADG	atrial diastolic gallop
ADG	axiodistogingival
ADH	antidiuretic hormone
ADHD	attention-deficit hyperactivity disorder
ADI	allowable daily intake (acceptable)
ADIC	and doxorubicin and dacarbazine
ADIS	anxiety disorder interview schedule
ADL	activities of daily living
ADMC	antibody dependent macrophage mediated cytotoxicity
ADME	absorption, distribution,metabolism, and excretion
ADO	axiodistocclusal
ADP	acute dermatomyositis and polymyositis
ADP	adenosine diphosphate
ADP	advanced pancreatitis
ADP	area diastolic pressure
ADP	arterial demand pacing
ADP	automatic data processing
ADPKD	autosomal dominant polycystic kidney disease
ADPL	average daily patient load
ADQ	abductor digiti quinti(muscles)
ADR	acute dystonic reaction
ADR	adriamycin
ADR	advanced diagnostic research
ADR	adverse drug reaction (report)
ADR	airway dilation reflex
ADRIA	doxorubicin(Adriamycin)
ADS	acute diarrheal syndrome
ADS	admission day surgery
ADS	anatomical dead space
ADS	anonymous donor's sperm
ADS	antibody deficiency syndrome
ADS	antidiuretic substance
ADSU	ambulatory diagnostic surgery unit
ADT	adenosine triphosphate
ADT	alternate day therapy
ADT	alternate day treatment
ADT	anodal duration tetanus
ADT	anticipate discharge tomorrow
ADT	Auditory Discrimination Test
ADTP	Alcohol Dependence Treatment Program
ADX	audiological diagnostic
AE	anoxic encephalopathy
AE	antiembolitic
AE	antitoxin unit [Ger. Antitoxineinheit]
AE	energy of activation
AE	arm ergometric
AE	ary epiglottic
AE	adverse event
AE	above elbow (amputation)
AE	accident and emergency (department)
AE	acrodermatitis enteropathica
AE	acute exacerbation
AE	adrenal epinephrine
AE	adult erythrocyte
AE	after-effect
AE	agarose electrophoresis
AE	air embolism
AE	air entry
AE	alcoholic embryopathy
AE	alveolar echinococciasis
AEA	above elbow amputation
AEA	alcohol, ether and acetone (solution)
AEB	acute erythroblastopenia
AEB	atrial ectopic beat
AEB	avian erythroblastosis
AEC	Atomic energy commission
AED	antiepileptic drug
AED	automated external defibrillator
AEDP	assisted end diastolic pressure
AEDP	automated external defibrillator pacemaker
AEEU	admission entrance and evaluation unit
AEF	allogenic effect factor
AEF	amyloid enhancing factor
AEG	air encephalogram (procedure/neurology)
AEG	Alcohol Education Group
AEL	acute erythroleukemia
AEM	ambulatory electrogram monitor
AEP	acute edematous pancreatitis
AEP	artificial endocrine pancreas
AEP	auditory evoked potential
AEP	average evoked potential
AER	acoustic evoked response
AER	acute exertional rhabdomyolysis
AER	agranular endoplasmic reticulum
AER	albumin excretion rate
AER	aldosterone excretion rate
AER	anion exchange resin
AER	apical ectodermal ridge
AER	auditory evoked response
AER	average electroencephalic response
AER	average evoked response
AES	anti-embolic stockings
AET	alternating esotropia
AET	atrial ectopic tachycardia
AEV	avian erythroblastosis virus
AEX	aerosol-ether-xylene
AEq	age equivalent
AF	acid-fast(bacill)
AF	afebrile
AF	amniotic fluid
AF	angiogenesis factor
AF	anterior fontanel
AF	antifibrinogen
AF	anti muslce fibril antibody
AF	aortofemoral
AF	arterial filter
AF	atrial fibrillation
AF	atrial flutter
AFAFP	amniotic fluid alpha-fetoprotein
AFB	acid-fast bacilli
AFB	aorto-femoral bypass
AFB	aspirated foreign body
AFBG	aortofemoral bypass graft
AFC	adult foster care
AFC	air filled cushions
AFC	antibody-forming cell
AFE	amniotic fluid embolization
AFG	alpha fetal globulin
AFG	amniotic fluid glucose
AFI	amniotic fluid index
AFKO	ankle-foot-knee orthosis
AFL	anti-fatty liver(factor)
AFL	atrial flutter
AFLP	acute fatty liver of pregnancy
AFND	acute ferbrile neutrophilic dermatosis
AFO	ankle-foot orthosis
AFOF	anterior fontanel-open and flat
